artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
VBR-001,visual-bom-brief.md,visual_brief,visual_bom_plan,concept_only,"README.md; design.md; bom.csv",none,false,"Existing visual BOM plan; uses hero/SVG placeholders until P0/P1 shop photos exist."
IMG-001,images/hero.png,raster_image,hero_placeholder,concept_only,"visual-bom-brief.md",none,false,"Existing hero image is visual support only; it does not control dimensions, hole placement, or fipple geometry."
IMG-002,site/assets/hero.png,raster_image,site_hero_placeholder,concept_only,"images/hero.png",none,false,"Site copy of the hero image; concept/support only."
SVG-001,drawings/family-overview.svg,svg_preview,family_overview,derived_preview,"family-spec.csv; design.md",derived_from_authority,false,"Existing generated preview; use workbook/tables as dimensional source, not the SVG alone."
SVG-002,drawings/kaval-hole-layout.svg,svg_preview,kaval_hole_layout,derived_preview,"kaval-hole-schedule.csv; hole-schedule.csv; family-spec.csv",pending,true,"Existing kaval layout preview. Hole centers remain measurement-required until P0 sound-window correction and prototype tuning are logged."
SVG-003,drawings/alghosazi-hole-layout.svg,svg_preview,alghosazi_hole_layout,derived_preview,"alghosazi-hole-schedule.csv; hole-schedule.csv; family-spec.csv",pending,true,"Existing Alghosazi layout preview. Thumb-hole and tone-hole positions remain pending measured correction."
SVG-004,drawings/fipple-head-section.svg,svg_preview,fipple_head_section,derived_preview,"design.md; docs/p0-fipple-head-measurement.md",pending,true,"Existing fipple-head section is a starter reference; windway/window/splitting-edge dimensions must be proven by P0."
SVG-005,drawings/two-piece-joint.svg,svg_preview,joint_section,derived_preview,"design.md; cad/design-table-inputs.csv",derived_from_authority,true,"Existing joint section preview; joint fit still needs shop measurement before production authority."
SVG-006,drawings/double-drone-layout.svg,svg_preview,double_drone_layout,derived_preview,"double-drone-spec.csv; design.md",pending,true,"Existing double-drone layout preview; drone/melody tuning requires prototype validation."
SVG-007,drawings/*-body.svg,svg_preview,member_body_previews,derived_preview,"family-spec.csv; hole-schedule.csv",pending,true,"Existing per-member body previews; final hole positions remain pending P0 and tuning loop."
CAD-001,cad/kaval_alghosazi_master.scad,openscad_model,parametric_cad_starter,pending_measurement,"cad/design-table-inputs.csv; family-spec.csv; hole-schedule.csv",pending,true,"Existing OpenSCAD starter; not native CAD, not CAM reviewed, and not production authority."
CAD-002,cad/kaval_alghosazi_body.scad,openscad_model,body_cad_starter,pending_measurement,"cad/design-table-inputs.csv; family-spec.csv; hole-schedule.csv",pending,true,"Existing body model starter; fipple/head correction and hole positions remain measurement-required."
SWP-001,cad/SolidWorks-MasterLayout-Plan.md,cad_plan,solidworks_handoff_reference,reference_only,"design.md; cad/sw-global-variables.csv; cad/design-table-inputs.csv",derived_from_authority,false,"Existing SolidWorks plan; no native SolidWorks files are claimed by this migration."
CNC-001,cnc/cnc-plan.json,cnc_plan,operation_plan,pending_measurement,"cad/design-table-inputs.csv; assembly-manual.md",pending,true,"Existing operation plan is pre-CAM; no feeds/speeds/toolpaths are promoted to fabrication authority."
CNC-002,cnc/operations.csv,cnc_operations,setup_operations,pending_measurement,"cnc/cnc-plan.json; assembly-manual.md",pending,true,"Existing operation rows remain gated by P0/P1 validation and shop setup review."
WOL-001,wolfram-starter.wl,acoustic_model_starter,analysis_starter,pending_measurement,"design.md; family-spec.csv; sound-window-correction-log.csv",pending,false,"Existing Wolfram starter; predictions are not measured validation."
WOL-002,wolfram/kaval-alghosazi-flutes-wolfram-model.wl,acoustic_model,analysis_model,pending_measurement,"wolfram-starter.wl; design.md; family-spec.csv",pending,false,"Existing Wolfram model remains pending P0 measured correction and tuning data."
WOL-003,wolfram/kaval-alghosazi-flutes-wolfram-model.wl,acoustic_model,analysis_model,pending_measurement,"wolfram-starter.wl; docs/sound-window-correction-model.md",pending,false,"Existing analysis model should be updated only from measured correction data."
VAL-001,validation.csv,measurement_log,tuning_validation,pending_measurement,"design.md; family-spec.csv",pending,false,"Existing validation log is the place for real measurements; no measured tuning authority is claimed."
VAL-002,validation-loop.csv,validation_plan,prototype_gate_log,pending_measurement,"docs/p0-fipple-head-measurement.md; sound-window-correction-log.csv",pending,false,"Existing validation loop explicitly gates full-body schedules on P0 measurement."
SWC-001,docs/sound-window-correction-model.md,analysis_note,sound_window_model,reference_only,"sound-window-correction-log.csv; family-spec.csv",model_estimate_only,false,"Existing model note is L1 estimate only; do not use model estimates as cut authority."
SWC-002,sound-window-correction-log.csv,measurement_log,sound_window_backsolve,pending_measurement,"docs/p0-fipple-head-measurement.md; docs/sound-window-correction-model.md",pending,false,"Existing back-solve log contains pending/model rows until a physical P0 measurement is recorded."
PDF-001,print-packet.pdf,print_packet,shop_packet_preview,derived_preview,"print-packet.md; family-spec.csv; validation-loop.csv",pending,false,"Existing print packet is useful for review but not proof of measured tuning or production readiness."
SITE-001,site/index.html,site,build_log_site,derived_preview,"README.md; design.md; visual-bom-brief.md",none,false,"Existing build-log site is documentation; it is not fabrication authority."
